# __s0 __s1 __s2 __s3 __s4 __s5 __s6 __s7 __s8 __s9 __s10 __s11 __s12 __s13 __s14 __s15 __s16 __s17 __s18 __s19 __s20 __s21 __s22 __s23 __s24 __s25 __s26 __s27 __s28 __s29 __s30 __s31 __s32 __s33 __s34 oT4 oT8 oNK oDC oM14 oM16 oB oT4_T4 oT4_T8 oT4_NK oT4_DC oT4_M14 oT4_M16 oT4_B oT8_T8 oT8_NK oT8_DC oT8_M14 oT8_M16 oT8_B oNK_NK oNK_DC oNK_M14 oNK_M16 oNK_B oDC_DC oDC_M14 oDC_M16 oDC_B oM14_M14 oM14_M16 oM14_B oM16_M16 oM16_B oB_B
1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251394944620237148e-01 6.737755728360637908e-02 5.775001876828637221e-02 5.774820797210848504e-03 5.774946551743954243e-02 9.624529755776800241e-03 4.813439023741323403e-02 8.178645868280140941e-04 8.818594943477319403e-04 7.566543833714062858e-04 7.577448409642463208e-05 7.572573691061196960e-04 1.262964740394947221e-04 6.269341593590064578e-04 2.380530872303882018e-04 4.084715405323528586e-04 4.087100414040104371e-05 4.083887002474811284e-04 6.815854473494032219e-05 3.385872579299377188e-04 1.753705578500720135e-04 3.504468734470183786e-05 3.502245651013478228e-04 5.844111871999782011e-05 2.904038209436539896e-04 1.754383055470723878e-06 3.504635038648248586e-05 5.844711463954301091e-06 2.908919924624616229e-05 1.751048798888672070e-04 5.843732178735364970e-05 2.909704161539401800e-04 4.878138795222901115e-06 4.853579588701029015e-05 1.205445565334797452e-04 1.251394944620237148e-01 6.737755728360637908e-02 5.775001876828637221e-02 5.774820797210848504e-03 5.774946551743954243e-02 9.624529755776800241e-03 4.813439023741323403e-02 1.635729173656028188e-03 8.818594943477319403e-04 7.566543833714062858e-04 7.577448409642463208e-05 7.572573691061196960e-04 1.262964740394947221e-04 6.269341593590064578e-04 4.761061744607764036e-04 4.084715405323528586e-04 4.087100414040104371e-05 4.083887002474811284e-04 6.815854473494032219e-05 3.385872579299377188e-04 3.507411157001440270e-04 3.504468734470183786e-05 3.502245651013478228e-04 5.844111871999782011e-05 2.904038209436539896e-04 3.508766110941447756e-06 3.504635038648248586e-05 5.844711463954301091e-06 2.908919924624616229e-05 3.502097597777344140e-04 5.843732178735364970e-05 2.909704161539401800e-04 9.756277590445802230e-06 4.853579588701029015e-05 2.410891130669594903e-04
1.207558122115263005e-01 6.500247095600088232e-02 5.570814727823084067e-02 5.570127565797383141e-03 5.570606157757055504e-02 9.282892945297212955e-03 4.645896172468647750e-02 1.554349147361053490e-03 1.677978745451212369e-03 1.441206241479318527e-03 1.445368562281052220e-04 1.443513918853235253e-03 2.409138769825757949e-04 1.187339854757067789e-03 4.541588217691779040e-04 7.800047615024894784e-04 7.809087183677636290e-05 7.796810721726636292e-04 1.303050722806231305e-04 6.431508772169816646e-04 3.354806970831847746e-04 6.698127866000099981e-05 6.689647415955065485e-04 1.117627443017260244e-04 5.519715600637264659e-04 3.357293522957210790e-06 6.698729908126313352e-05 1.117837209721787582e-05 5.538316925333857982e-05 3.344518701781440460e-04 1.117474308903142189e-04 5.541402194801857113e-04 9.344369260885663299e-06 9.251081962855528681e-05 2.282708874568292778e-04 1.207558122115263005e-01 6.500247095600088232e-02 5.570814727823084067e-02 5.570127565797383141e-03 5.570606157757055504e-02 9.282892945297212955e-03 4.645896172468647750e-02 3.108698294722106979e-03 1.677978745451212369e-03 1.441206241479318527e-03 1.445368562281052220e-04 1.443513918853235253e-03 2.409138769825757949e-04 1.187339854757067789e-03 9.083176435383558079e-04 7.800047615024894784e-04 7.809087183677636290e-05 7.796810721726636292e-04 1.303050722806231305e-04 6.431508772169816646e-04 6.709613941663695492e-04 6.698127866000099981e-05 6.689647415955065485e-04 1.117627443017260244e-04 5.519715600637264659e-04 6.714587045914421581e-06 6.698729908126313352e-05 1.117837209721787582e-05 5.538316925333857982e-05 6.689037403562880920e-04 1.117474308903142189e-04 5.541402194801857113e-04 1.868873852177132660e-05 9.251081962855528681e-05 4.565417749136585555e-04
1.167919283710257827e-01 6.284549248629764384e-02 5.384989436148127084e-02 5.383520487143386539e-03 5.384546538076655925e-02 8.971134114841712928e-03 4.495066793752607037e-02 2.219243169301765399e-03 2.398554141121669696e-03 2.062182124276979410e-03 2.071130159549322883e-04 2.067155546915146625e-03 3.452242844280837197e-04 1.689356177673784687e-03 6.508994950618218625e-04 1.118926494020954692e-03 1.120856986457272438e-04 1.118215313838350584e-03 1.871401222008904934e-04 9.177867537511029536e-04 4.821144413198802294e-04 9.617067899073091831e-05 9.598844871356799254e-04 1.605584428961057662e-04 7.881545285584936342e-04 4.826287702391438835e-06 9.618296176586365405e-05 1.605996347167608785e-05 7.921461862290132231e-05 4.798721098140011024e-04 1.605238467165329955e-04 7.928282432338743186e-04 1.344631868947051732e-05 1.324665880660524258e-04 3.247625762838553579e-04 1.167919283710257827e-01 6.284549248629764384e-02 5.384989436148127084e-02 5.383520487143386539e-03 5.384546538076655925e-02 8.971134114841712928e-03 4.495066793752607037e-02 4.438486338603530798e-03 2.398554141121669696e-03 2.062182124276979410e-03 2.071130159549322883e-04 2.067155546915146625e-03 3.452242844280837197e-04 1.689356177673784687e-03 1.301798990123643725e-03 1.118926494020954692e-03 1.120856986457272438e-04 1.118215313838350584e-03 1.871401222008904934e-04 9.177867537511029536e-04 9.642288826397604588e-04 9.617067899073091831e-05 9.598844871356799254e-04 1.605584428961057662e-04 7.881545285584936342e-04 9.652575404782877671e-06 9.618296176586365405e-05 1.605996347167608785e-05 7.921461862290132231e-05 9.597442196280022049e-04 1.605238467165329955e-04 7.928282432338743186e-04 2.689263737894103464e-05 1.324665880660524258e-04 6.495251525677107158e-04
1.131992292966178953e-01 6.088168392766626219e-02 5.215437818401695569e-02 5.212953390103447146e-03 5.214693786988796459e-02 8.685880777874206010e-03 4.358986813386696302e-02 2.820889355086214374e-03 3.052280966690088752e-03 2.626853183558791605e-03 2.642069504103047211e-04 2.635330901712708805e-03 4.403975658480520404e-04 2.139922424989642268e-03 8.304764661670173366e-04 1.428925319386281688e-03 1.432187864448099875e-04 1.427691050473301349e-03 2.392609175410176478e-04 1.165986099464176627e-03 6.167916660468535182e-04 1.229207456178791204e-04 1.226109479473671887e-03 2.053344776435502505e-04 1.001895278209133508e-03 6.176336464507458054e-06 1.229405785577567553e-04 2.053981961635911767e-05 1.008670563204283778e-04 6.129281109267490117e-04 2.052729299948869498e-04 1.009860968046219802e-03 1.722459576417540919e-05 1.688643199535717085e-04 4.113678595749302707e-04 1.131992292966178953e-01 6.088168392766626219e-02 5.215437818401695569e-02 5.212953390103447146e-03 5.214693786988796459e-02 8.685880777874206010e-03 4.358986813386696302e-02 5.641778710172428747e-03 3.052280966690088752e-03 2.626853183558791605e-03 2.642069504103047211e-04 2.635330901712708805e-03 4.403975658480520404e-04 2.139922424989642268e-03 1.660952932334034673e-03 1.428925319386281688e-03 1.432187864448099875e-04 1.427691050473301349e-03 2.392609175410176478e-04 1.165986099464176627e-03 1.233583332093707036e-03 1.229207456178791204e-04 1.226109479473671887e-03 2.053344776435502505e-04 1.001895278209133508e-03 1.235267292901491611e-05 1.229405785577567553e-04 2.053981961635911767e-05 1.008670563204283778e-04 1.225856221853498023e-03 2.052729299948869498e-04 1.009860968046219802e-03 3.444919152835081838e-05 1.688643199535717085e-04 8.227357191498605414e-04
1.099360627794626621e-01 5.908967443776974582e-02 5.060370350649826682e-02 5.056672711173815053e-03 5.059270530232773400e-02 8.424242777035087504e-03 4.235974062737041940e-02 3.366433311238806701e-03 3.646611964534688353e-03 3.141451552435009596e-03 3.164217967238742101e-04 3.154165020093244350e-03 5.274362788354974938e-04 2.544983985437313141e-03 9.947759579817454061e-04 1.713161833369868711e-03 1.718014855000089467e-04 1.711279486138946818e-03 2.871792138041132309e-04 1.390739662919105238e-03 7.408138591265256683e-04 1.474954320672352442e-04 1.470319858417167089e-03 2.465248649703401717e-04 1.195715233989016937e-03 7.420271524320318599e-06 1.475236217180136771e-04 2.466111524702059563e-05 1.205832945213924435e-04 7.349599944008207821e-04 2.464288980118383180e-04 1.207657824491420234e-03 2.071400259153000290e-05 2.020988469130365289e-04 4.892402621791447663e-04 1.099360627794626621e-01 5.908967443776974582e-02 5.060370350649826682e-02 5.056672711173815053e-03 5.059270530232773400e-02 8.424242777035087504e-03 4.235974062737041940e-02 6.732866622477613402e-03 3.646611964534688353e-03 3.141451552435009596e-03 3.164217967238742101e-04 3.154165020093244350e-03 5.274362788354974938e-04 2.544983985437313141e-03 1.989551915963490812e-03 1.713161833369868711e-03 1.718014855000089467e-04 1.711279486138946818e-03 2.871792138041132309e-04 1.390739662919105238e-03 1.481627718253051337e-03 1.474954320672352442e-04 1.470319858417167089e-03 2.465248649703401717e-04 1.195715233989016937e-03 1.484054304864063720e-05 1.475236217180136771e-04 2.466111524702059563e-05 1.205832945213924435e-04 1.469919988801641564e-03 2.464288980118383180e-04 1.207657824491420234e-03 4.142800518306000580e-05 2.020988469130365289e-04 9.784805243582895325e-04
1.069664939336137655e-01 5.745102221025812778e-02 4.918242720520176609e-02 4.913165103748226743e-03 4.916742847014204248e-02 8.183725903501965285e-03 4.124577934927709660e-02 3.862037740502222930e-03 4.187979251436552662e-03 3.611356062413148028e-03 3.642779152475981779e-04 3.628942647773822448e-03 6.072056180400651820e-04 2.909669090470487583e-03 1.145425517324482993e-03 1.974363272116572577e-03 1.981025005532162484e-04 1.971717957577627002e-03 3.313366188575219773e-04 1.594627154551390502e-03 8.553033796716752500e-04 1.701226394062498525e-04 1.694829857190041297e-03 2.845043020577848569e-04 1.371789902271044331e-03 8.569168581901926085e-06 1.701596168534714819e-04 2.846114407300379917e-05 1.385727429544302372e-04 8.471251964789427123e-04 2.843667192360305228e-04 1.388304338269086930e-03 2.394457530731339514e-05 2.325105436189968042e-04 5.593734392937269907e-04 1.069664939336137655e-01 5.745102221025812778e-02 4.918242720520176609e-02 4.913165103748226743e-03 4.916742847014204248e-02 8.183725903501965285e-03 4.124577934927709660e-02 7.724075481004445860e-03 4.187979251436552662e-03 3.611356062413148028e-03 3.642779152475981779e-04 3.628942647773822448e-03 6.072056180400651820e-04 2.909669090470487583e-03 2.290851034648965986e-03 1.974363272116572577e-03 1.981025005532162484e-04 1.971717957577627002e-03 3.313366188575219773e-04 1.594627154551390502e-03 1.710606759343350500e-03 1.701226394062498525e-04 1.694829857190041297e-03 2.845043020577848569e-04 1.371789902271044331e-03 1.713833716380385217e-05 1.701596168534714819e-04 2.846114407300379917e-05 1.385727429544302372e-04 1.694250392957885425e-03 2.843667192360305228e-04 1.388304338269086930e-03 4.788915061462679028e-05 2.325105436189968042e-04 1.118746878587453981e-03
1.042593748611629623e-01 5.594973770633773769e-02 4.787715905151459367e-02 4.781118318896196775e-03 4.785780629555039245e-02 7.962167409174247465e-03 4.023541707413776092e-02 4.313042602169542966e-03 4.681960254221704219e-03 4.041231049097597679e-03 4.082263854930323838e-04 4.064245172319577194e-03 6.804557839730659930e-04 3.238421289392875990e-03 1.283836173719079925e-03 2.214894146058189218e-03 2.223548369186658725e-04 2.211380539593044928e-03 3.721160244602520471e-04 1.779884144972218498e-03 9.612327312449236777e-04 1.910000776252375172e-04 1.901647268321944540e-03 3.195978151938882192e-04 1.532005129698662746e-03 9.632633169983341134e-06 1.910459825384631721e-04 3.197227319254298096e-05 1.550168589958947677e-04 9.504281263482264926e-04 3.194117392846549460e-04 1.553606749695483121e-03 2.694236012118303051e-05 2.603942344789775764e-04 6.226272593140563935e-04 1.042593748611629623e-01 5.594973770633773769e-02 4.787715905151459367e-02 4.781118318896196775e-03 4.785780629555039245e-02 7.962167409174247465e-03 4.023541707413776092e-02 8.626085204339085932e-03 4.681960254221704219e-03 4.041231049097597679e-03 4.082263854930323838e-04 4.064245172319577194e-03 6.804557839730659930e-04 3.238421289392875990e-03 2.567672347438159849e-03 2.214894146058189218e-03 2.223548369186658725e-04 2.211380539593044928e-03 3.721160244602520471e-04 1.779884144972218498e-03 1.922465462489847355e-03 1.910000776252375172e-04 1.901647268321944540e-03 3.195978151938882192e-04 1.532005129698662746e-03 1.926526633996668227e-05 1.910459825384631721e-04 3.197227319254298096e-05 1.550168589958947677e-04 1.900856252696452985e-03 3.194117392846549460e-04 1.553606749695483121e-03 5.388472024236606102e-05 2.603942344789775764e-04 1.245254518628112787e-03
1.017876015755196095e-01 5.457190242120414647e-02 4.667624230927055334e-02 4.659389892531779279e-03 4.665225863341130458e-02 7.757684373641143133e-03 3.931772481871443486e-02 4.724092944084831193e-03 5.133410309394786410e-03 4.435137330955528194e-03 4.486598013706092638e-04 4.464060119609311768e-03 7.478398805966506458e-04 3.535105094383761415e-03 1.411236165991178442e-03 2.436812778573495611e-03 2.447613632860351756e-04 2.432334571262791383e-03 4.098507637772913731e-04 1.948455460519086385e-03 1.059448007473370390e-03 2.102999624268260873e-04 2.092521078891049473e-03 3.520884932306527935e-04 1.678002031705130327e-03 1.061902982591381427e-05 2.103547104950108057e-04 3.522270844669191775e-05 1.700735017912192765e-04 1.045743927643540778e-03 3.518473977766551687e-04 1.705135633266789685e-03 2.973003584575507340e-05 2.860063108394041826e-04 6.797485743900743334e-04 1.017876015755196095e-01 5.457190242120414647e-02 4.667624230927055334e-02 4.659389892531779279e-03 4.665225863341130458e-02 7.757684373641143133e-03 3.931772481871443486e-02 9.448185888169662386e-03 5.133410309394786410e-03 4.435137330955528194e-03 4.486598013706092638e-04 4.464060119609311768e-03 7.478398805966506458e-04 3.535105094383761415e-03 2.822472331982356884e-03 2.436812778573495611e-03 2.447613632860351756e-04 2.432334571262791383e-03 4.098507637772913731e-04 1.948455460519086385e-03 2.118896014946740781e-03 2.102999624268260873e-04 2.092521078891049473e-03 3.520884932306527935e-04 1.678002031705130327e-03 2.123805965182762854e-05 2.103547104950108057e-04 3.522270844669191775e-05 1.700735017912192765e-04 2.091487855287081556e-03 3.518473977766551687e-04 1.705135633266789685e-03 5.946007169151014681e-05 2.860063108394041826e-04 1.359497148780148667e-03
9.952746365450940158e-02 5.330533561093325073e-02 4.556947466914382239e-02 4.546979800657064558e-03 4.554064918201653628e-02 7.568628626287889592e-03 3.848314844466190626e-02 5.099250809186323466e-03 5.546578685838344375e-03 4.796629254495848177e-03 4.859217017482221927e-04 4.831876846415776583e-03 8.099295515887639527e-04 3.803098687030950775e-03 1.528700402657370578e-03 2.641920666584153619e-03 2.654996669553195726e-04 2.636390017735523294e-03 4.448326010896097669e-04 2.102041945549083281e-03 1.150689335995938633e-03 2.281731143578194640e-04 2.268983060624222680e-03 3.822242345373900161e-04 1.811216328264873008e-03 1.153568194151438360e-05 2.282364503754755896e-04 3.823716221988100137e-05 1.838807398031859237e-04 1.133839226797101916e-03 3.819219616590397446e-04 1.844264027579204518e-03 3.232745644778178362e-05 3.095709497218728738e-04 7.313894386944330347e-04 9.952746365450940158e-02 5.330533561093325073e-02 4.556947466914382239e-02 4.546979800657064558e-03 4.554064918201653628e-02 7.568628626287889592e-03 3.848314844466190626e-02 1.019850161837264693e-02 5.546578685838344375e-03 4.796629254495848177e-03 4.859217017482221927e-04 4.831876846415776583e-03 8.099295515887639527e-04 3.803098687030950775e-03 3.057400805314741156e-03 2.641920666584153619e-03 2.654996669553195726e-04 2.636390017735523294e-03 4.448326010896097669e-04 2.102041945549083281e-03 2.301378671991877265e-03 2.281731143578194640e-04 2.268983060624222680e-03 3.822242345373900161e-04 1.811216328264873008e-03 2.307136388302876719e-05 2.282364503754755896e-04 3.823716221988100137e-05 1.838807398031859237e-04 2.267678453594203832e-03 3.819219616590397446e-04 1.844264027579204518e-03 6.465491289556356725e-05 3.095709497218728738e-04 1.462778877388866069e-03
