CellCondition,Timepoint,WellID,Protein,Dose,B-->B,B-->M14,M14-->M14,B-->M16,M14-->M16,M16-->M16,B-->NK,M14-->NK,M16-->NK,NK-->NK,B-->Negs,M14-->Negs,M16-->Negs,NK-->Negs,Negs-->Negs,B-->T0,M14-->T0,M16-->T0,NK-->T0,Negs-->T0,T0-->T0,B-->T4,M14-->T4,M16-->T4,NK-->T4,Negs-->T4,T0-->T4,T4-->T4,B-->T8,M14-->T8,M16-->T8,NK-->T8,Negs-->T8,T0-->T8,T4-->T8,T8-->T8
Resting,24,292,ICAM1,80,1.703406345,0.53540947,1.71773526,0.512313375,0.696759111,2.527914917,0.834279161,0.415414901,0.751977562,1.045947401,0.801471844,0.529871767,0.753278766,0.834544864,2.160477442,0.84512463,0.605593008,0.807118077,1.108121552,0.821737218,1.963416261,1.352900823,0.48696268,0.555903735,0.966160885,0.774701895,0.856848916,1.453004581,1.248104409,0.464173904,0.45306615,0.985605514,0.846145799,1.067538326,1.262857302,1.209976674
Resting,24,368,ICAM1,80,1.71321998,0.284450266,1.229489266,0.451968846,0.4872827,2.92004158,0.924662895,0.529393551,0.480665281,1.081332044,1.089937977,0.983506367,0.982276984,0.705563715,2.228351457,0.882763302,0.72023309,0.2697498,0.962070616,0.824922934,1.196119204,1.192969686,0.472860456,0.377815504,1.007508012,0.922008479,1.026122479,1.360942409,1.23638894,0.510091677,0.641994957,1.009056192,0.82838059,1.063694245,1.326373579,1.209083159
Resting,24,15,IFNGR1,200,1.659849555,0.449113056,2.058597056,0.45598638,0.837673802,2.019922643,0.942009434,0.568940299,0.438249915,1.233759605,0.894837572,0.593619454,0.949693971,0.860031149,2.309367475,0.752505612,0.589822752,0.622242088,0.996178239,0.82860451,1.924655703,1.411715538,0.411474451,0.49311537,1.10015948,0.668592941,0.928003839,1.388713351,1.387608327,0.461366493,0.404850114,0.992576269,0.876841977,1.032484286,1.249652331,1.14691839
Resting,24,23,IFNGR1,200,1.389671675,0.412004611,2.23121732,0.207102745,1.091049248,2.160516293,0.9203749,0.504211682,0.352283118,1.184607657,0.759816441,0.670928953,0.941269519,0.807782947,1.544906324,0.930324458,0.545960416,0.492096505,1.172116188,0.940311794,2.39734888,1.259980544,0.474794834,0.448330717,1.028127377,0.677558293,1.036626001,1.420491116,1.141251404,0.47803606,0.447861343,1.069616983,0.883171158,1.330360706,1.212393903,1.213867567
Resting,24,160,IFNGR1,200,1.689895735,0.576400062,3.857950418,0.727913257,1.291964791,2.658858347,1.030829927,0.32458033,0.632827909,0.894292669,0.624815277,1.126580198,0.652077427,0.940895393,3.278362655,0.744119628,0.395985854,0.647156088,1.126329202,1.071314,1.85080536,1.327931773,0.375660321,0.394201361,1.011946271,0.833261594,0.927488862,1.329504989,1.170998339,0.52867537,0.685985454,0.946003274,0.870868583,1.193317759,1.138400528,1.097424812
Resting,24,250,IFNGR1,200,1.197527365,0.31316324,4.189384481,0.502749809,1.735446287,0,0.951722335,0.4377041,0.991716365,1.210724616,0.77909573,0.985695632,0.797074863,0.612583378,3.198856734,0.887127891,0.466419339,0.877886975,1.150525132,0.732541449,1.438428374,1.285302147,0.460375028,0.381264607,1.006632028,0.75197041,0.972008594,1.218130312,1.101052067,0.379926962,0.558322154,0.935615294,0.72735062,1.086974171,1.231650747,1.175949188
Resting,24,258,IFNGR1,200,1.784856566,0.338472072,2.558964652,0.395419883,0.608974175,9.130068043,1.131616198,0.44993025,0.512323751,1.191008673,0.467171272,0.684662945,0.894755571,0.878643976,3.239544489,0.900868,0.332194246,0.56500729,1.225917547,0.890041821,1.788828954,1.270540974,0.401611077,0.52386111,1.130108716,0.683251035,0.859163443,1.362293908,1.280774339,0.423598537,0.415538726,1.030633487,0.745913287,1.196047026,1.218975104,1.127941638
Resting,24,4,IFNGR1,80,1.576404813,0.573926667,1.364556931,0.453276729,0.9786974,2.029428548,0.91135668,0.643042087,0.744608482,1.14653581,0.87510589,0.931269464,1.005388672,0.849400785,1.504599714,1.111646894,0.573002604,0.897387936,1.039757568,0.95265065,1.349706558,1.059847542,0.526810531,0.610373297,1.087093938,0.858110711,1.062924444,1.273235698,1.033757207,0.632728436,0.401441015,1.080133366,0.944660105,1.098885041,1.222606878,1.164665313
Resting,24,105,IFNGR1,80,1.604001098,0.570878573,1.361228241,0.526241976,0.555937059,2.325488353,1.071608035,0.494835618,0.433479189,1.017714297,0.656310855,0.661829833,0.922812838,0.728536451,2.307032096,1.224106101,0.539401559,0.688466947,1.024504385,0.7610604,0.873524791,1.217477368,0.458214209,0.51945701,1.206474117,0.75894693,1.008600526,1.342541502,1.170214637,0.473445929,0.556902145,1.110251486,0.763430069,1.049187654,1.27354012,1.220680418
Resting,24,145,IFNGR1,80,1.526247221,0.547626699,1.232662834,0.522788522,0.670715548,5.408699292,0.941867281,0.474225309,0.381443203,1.012740033,0.671642495,0.648480497,0.707506276,0.829157191,1.446064892,0.775082622,0.586661681,0.561322994,1.117743603,1.044909479,1.516696906,1.308752728,0.400259106,0.478575278,1.121483999,0.771072548,0.972844765,1.509425823,1.26852836,0.434719188,0.4642274,0.977107453,0.80300953,1.131310471,1.324556144,1.251625943
Resting,24,232,IFNGR1,80,1.410274446,0.819086197,1.210061678,0.848421447,0.573043978,1.056549834,0.974925003,0.580713369,0.701047204,1.11869618,0.695645201,0.652576772,0.842231896,0.620532238,1.02763424,1.140278425,0.766096127,0.525927028,0.992512889,1.001052768,1.154034165,1.262241278,0.540746374,0.683428192,0.996667692,0.856109337,0.897658363,1.303279445,1.145533165,0.476378237,0.654379252,1.015757778,0.943920724,1.123011741,1.220608803,1.232090586
Resting,24,335,IFNGR1,80,1.782155196,0.432266323,2.994647068,0.771517875,1.252094196,10.26047992,1.184313628,0.440503236,0.712222178,1.004908615,0.665620344,0.904967527,1.439372344,0.631591399,2.347316192,0.817594637,0.412072063,0.647217773,0.988373138,0.862540545,1.197552638,1.306377844,0.361602498,0.302595322,1.160550131,0.768980361,0.916191392,1.388966709,1.244975157,0.3769653,0.449344614,1.072546233,0.72305396,0.940356395,1.266414037,1.176622911
Resting,24,19,IL1RAP,200,1.646483751,0.390750636,2.429682333,0.416314134,1.272192823,2.302131464,0.951317233,0.375240257,0.464809679,1.158096312,0.801739289,0.697664848,0.800484611,0.891425635,1.454185264,0.933917869,0.479023592,0.389507078,1.268235887,1.027212612,1.281010044,1.251255173,0.4279272,0.501686208,1.106704537,0.746638133,0.944145927,1.323545658,1.139084778,0.467110329,0.440246002,1.083513461,0.926431854,1.137620085,1.231309123,1.292073606
Resting,24,121,IL1RAP,200,1.145022444,0.558198442,4.198989632,0.521680787,2.020426213,13.94399112,0.777976922,0.550459192,0.920590877,1.090218095,0.819462306,1.29246077,0.429478138,0.740550499,4.285880274,0.981139759,0.595034984,0.46830102,0.872965316,0.670705735,1.085206036,1.316505759,0.445692054,0.479847893,0.91436753,0.812868409,1.058245841,1.27209533,1.051054235,0.4451679,0.564128497,0.907003636,0.776675357,1.0799183,1.168667657,1.185872841
Resting,24,161,IL1RAP,200,2.036377909,0.396145975,3.617604749,0.504952692,1.996999232,3.832994403,0.978315582,0.400722003,0.72093737,0.969101788,0.628859289,0.983048256,0.89503959,0.64384783,2.229333438,0.899470222,0.426775818,1.165704483,1.125119973,0.780314584,1.258540227,1.463593307,0.37846791,0.440616989,0.970503276,0.744224184,0.911214104,1.56763498,1.239122268,0.469467098,0.629058887,0.956922408,0.675698873,1.115985052,1.231725694,1.202162543
Resting,24,311,IL1RAP,200,1.154184627,0.450453775,4.601586045,0.312731242,1.634289883,4.44392523,1.03352327,0.405078642,0.489547095,0.802942603,0.654467911,1.156818176,1.504414823,0.622734725,2.390734946,1.044758299,0.4565172,1.203734849,1.182390959,0.907622166,1.508018473,1.180162899,0.41073652,0.446746297,0.94894694,0.702253422,1.144950764,1.386136685,1.115682043,0.429716897,0.747825131,0.88697026,0.667430777,1.083722096,1.222519808,1.102395608
Resting,24,348,IL1RAP,200,1.354010157,0.354881694,4.870517096,0.657613899,1.723584817,14.05311895,1.007171338,0.506834609,0.860924541,1.139229453,0.830550427,1.015861409,1.922781125,0.695889179,2.5405071870000002,0.863175091,0.504678984,0.354729489,1.003995196,0.694422867,0.967042633,1.236215309,0.433156643,0.700736122,0.996802427,0.592958542,0.864943892,1.306097463,1.082310226,0.371772311,0.394689783,1.064867469,0.623104544,0.956426693,1.203270035,1.19718923
Resting,24,56,IL1RAP,80,1.61905588,0.501753777,3.279705994,0.327279455,0.947964694,4.778003864,1.130000103,0.386370239,0.738673787,1.153400812,0.574557266,0.95681547,0.612101036,0.830642001,3.640009842,0.979358977,0.580236654,0.428934438,1.348359462,0.529147949,1.326338937,1.307214183,0.432551065,0.439106037,1.013057223,0.84139168,0.940009341,1.303761819,1.186644354,0.431905479,0.425709367,0.959789954,0.737257033,0.960735202,1.250191904,1.14842837
Resting,24,98,IL1RAP,80,1.699484916,0.556011224,1.891001635,0.563965382,0.798301109,0.865564261,1.038819351,0.449498699,0.710999214,1.124093208,0.716945788,0.850641048,1.015713163,0.86804635,1.787862455,0.851090996,0.540756181,0.575631036,1.084555579,0.866006923,1.485956932,1.248951114,0.5812472,0.490247685,1.068018377,0.962653022,0.983112351,1.348818572,1.105833205,0.554779857,0.640670024,0.966916891,0.949650518,1.094782952,1.16525719,1.158301024
Resting,24,201,IL1RAP,80,1.205117048,0.424260027,0.928433175,0.506467424,0.61936225600000006,1.498464512,1.029832196,0.515655088,0.599787897,1.104350077,0.808771735,0.843377788,0.7651651,0.824148391,2.118274865,1.089787309,0.643820231,1.109816595,1.140955409,0.932764614,0.98363169,1.142416448,0.546832324,0.736178806,1.053121618,0.665655453,1.087985509,1.320905075,1.245442732,0.498716903,0.66730771,0.987626474,0.803896096,1.21813288,1.262691154,1.24454547
Resting,24,224,IL1RAP,80,1.576370932,0.732737735,1.336976892,0.670816236,1.206035857,2.412071713,0.980796302,0.559789722,0.587779208,1.209509562,0.958571243,0.960168862,1.10364237,0.779920556,1.413919051,0.756818317,0.47781992,0.413498008,1.149434896,1.088927138,1.911279681,1.185996447,0.533545817,0.430727092,1.020261913,0.836632119,0.98187251,1.284113546,1.187415103,0.534493164,0.572671247,1.044834794,1.062882851,1.292181275,1.153394943,1.178881806
