Plate,Row,Column,final_ngul,band_intensity,rank_ngul,predict_MW,band_MW,band_notes
VI,C,10,20.26592477,0,0.218,176.7554,140,
VI,C,11,101.3181363,5,0.714,58.37193,55,
VI,C,12,0,0,0.001,134.1452,0,
VI,D,1,26.90831569,4,0.264,67.78513,95,
VI,D,2,55.47206632,0,0.433,213.0188,,other faint bands
VI,D,3,72.38448846,6,0.547,45.37355,52,
VI,D,4,51.20884349,4,0.409,79.43586,70,
VI,D,5,26.06043492,2,0.255,56.04037,60,
VI,D,6,0,0,0.001,57.05486,0,
VI,D,7,10.25361422,0,0.156,46.28891,0,
VI,D,8,0,0,0.001,120.3541,0,
VI,D,9,48.86833316,0,0.388,101.9095,,other faint bands
VI,D,10,103.3680647,7,0.721,109.9046,95,
VI,D,11,117.1878377,6,0.782,66.91713,61,
VI,D,12,62.72949714,5,0.483,58.82932,62,
VI,E,1,91.23939231,4,0.66,90.02318,92,other faint bands
VI,E,2,127.4503053,7,0.833,61.51864,62,
VI,E,3,188.7245173,8,0.961,89.09182,70,
VI,E,4,34.66648778,4,0.316,200.801,180,
VI,E,5,79.12875602,5,0.578,38.62492,47,
VI,E,6,99.5514091,9,0.709,37.56557,49,42
VI,E,7,5.970955002,0,0.127,89.41264,0,
VI,E,8,99.76924107,9,0.711,45.3415,48,
VI,E,9,55.3909097,7,0.431,114.1847,71,
VI,E,10,55.03688083,7,0.427,116.1518,95,
VI,E,11,29.60295689,0,0.285,71.0278,0,
VI,E,12,129.4088099,7,0.836,64.72486,62,
VI,F,1,55.36364206,4,0.43,52.75653,31,
VI,F,2,132.5354729,6,0.851,38.16466,43,
VI,F,3,81.54029788,5,0.596,59.3263,59,
VI,F,4,0,0,0.001,45.79859,0,
VI,F,5,22.54258642,0,0.232,218.775,,other faint bands
VI,F,6,64.51152645,5,0.497,56.73589,64,
VI,F,7,90.19985158,5,0.654,56.48668,61,
VI,F,8,125.8684203,6,0.821,54.46644,55,
VI,F,9,9.247719869,0,0.147,115.0033,0,other faint bands
VI,F,10,11.34711284,0,0.162,60.75621,,other faint bands
VI,F,11,37.96995956,4,0.336,163.0935,135,
VI,F,12,32.9984208,5,0.306,81.34333,102,
VI,G,1,7.750533445,0,0.141,35.73955,0,
VI,G,2,26.34723333,0,0.26,121.0471,0,
VI,G,3,64.81882151,2,0.498,95.82525,88,other faint bands
VI,G,4,138.186108,6,0.87,92.98829,93,
VI,G,5,56.0881945,0,0.441,165.3952,115,other faint bands
VI,G,6,61.57672594,0,0.476,73.50333,67,other faint bands
VI,G,7,50.77094274,5,0.403,198.2556,140,"105,67"
VI,G,8,11.98213844,0,0.165,82.63993,,other faint bands
VI,G,9,66.49922447,4,0.511,114.2383,102,
VI,G,10,62.26486255,4,0.48,61.89299,60,other faint bands
VI,G,11,93.03784429,4,0.669,58.97414,54,"other faint bands,33"
VI,G,12,52.54564179,5,0.416,53.12755,62,
VI,H,1,81.75387189,8,0.601,45.65092,53,
VI,H,2,133.8819987,7,0.86,36.4472,41,
VI,H,3,45.43729131,3,0.366,45.36445,51,48
VI,H,4,0,0,0.001,61.35632,0,other faint bands
VI,H,5,94.09356403,6,0.675,155.5759,120,
VI,H,6,133.1769613,6,0.855,130.2717,108,
VI,H,7,60.29605055,7,0.464,86.96622,71,
VI,H,8,43.83122689,3,0.358,112.4359,95,
VI,H,9,43.01054936,0,0.354,98.02281,0,other faint bands
VI,H,10,16.09960608,0,0.193,132.3878,0,other faint bands
VI,H,11,0,0,0.001,176.9485,0,other faint bands
VI,H,12,49.02043847,0,0.389,137.4554,0,other faint bands
VII,A,1,84.85700803,3,0.622,42.99926,47,
VII,A,2,76.60509,8,0.568,70.47332,92,
VII,A,3,89.31022681,4,0.65,71.16773,67,
VII,A,4,176.2580659,7,0.943,107.8817,90,
VII,A,5,67.57712205,0,0.517,75.57518,,other faint bands
VII,A,6,74.17358186,5,0.555,87.00165,37,
VII,A,7,51.64067573,0,0.412,81.4581,,other faint bands
VII,A,8,65.52008493,3,0.504,55.04975,52,44
VII,A,9,26.39205712,4,0.261,54.72084,61,other faint bands
VII,A,10,50.35138259,3,0.398,215.6998,180,
VII,A,11,39.69537488,0,0.342,195.5522,0,
VII,A,12,44.84672039,0,0.364,46.80147,0,
VII,B,1,68.9755533,2,0.529,121.6978,110,
VII,B,2,85.87499739,4,0.625,47.12812,49,
VII,B,3,15.86140741,0,0.188,46.80147,0,
VII,B,4,121.9531043,6,0.808,65.53028,63,
VII,B,5,36.55769627,1,0.327,70.67235,73,
VII,B,6,79.78873212,5,0.586,71.47966,68,
VII,B,7,44.10525135,3,0.36,80.1776663,102,
VII,B,8,0,0,0.001,85.40958,0,
VII,B,9,95.6270256,6,0.687,27.302947,30,
VII,B,10,60.97195459,4,0.467,45.28771,52,
VII,B,11,21.44523834,3,0.224,166.1689,135,100
VII,B,12,87.63356009,5,0.633,80.38264,87,
VII,C,1,80.00820549,5,0.587,45.84964,54,
VII,C,2,0,0,0.001,38.68807,0,
VII,C,3,117.0298737,6,0.778,41.68356,51,
VII,C,4,52.07649748,4,0.413,132.412,104,
VII,C,5,59.92467445,5,0.455,90.91396,91,
VII,C,6,96.82719516,6,0.696,68.10056,65,
VII,C,7,47.71200893,4,0.377,88.42338,99,
VII,C,8,42.82543576,3,0.352,173.1468,120,
VII,C,9,49.85104104,2,0.394,70.52985,66,
VII,C,10,43.60320626,0,0.357,169.1226,97,"other faint bands,43"
VII,C,11,25.89195686,0,0.252,149.8875,0,other faint bands
VII,C,12,0,0,0.001,176.9485,0,
VII,D,1,0,0,0.001,39.60513,0,
VII,D,2,2.272126545,0,0.113,82.69653,0,cd4 tag faint
VII,D,3,6.20926514,0,0.129,166.1689,0,
VII,D,4,0,0,0.001,153.5773,0,
VII,D,5,110.4927218,6,0.748,68.62109,59,37
VII,D,6,62.32424985,6,0.482,65.54199,63,
VII,D,7,31.65224276,0,0.296,70.84051,0,
VII,D,8,126.8452518,9,0.83,37.54573,42,
VII,D,9,94.91060978,0,0.68,165.3952,,other faint bands
VII,D,10,13.44195743,0,0.178,168.3501,0,
VII,D,11,36.54479366,2,0.325,68.14019,62,
VII,D,12,0,0,0.001,167.1223,0,
VII,E,1,95.00184612,6,0.681,103.7786,94,
VII,E,2,25.24991668,4,0.248,103.5344,96,
VII,E,3,0,0,0.001,63.01904,0,
VII,E,4,41.75064622,4,0.349,37.54751,47,
VII,E,5,117.9830049,5,0.785,105.6814,95,other faint bands
VII,E,6,19.80216963,0,0.214,89.59094,0,
VII,E,7,85.42428866,8,0.623,36.64167,48,
VII,E,8,96.62078764,7,0.693,53.11091,58,
VII,E,9,22.36404675,0,0.23,47.82471,0,
VII,E,10,101.0909377,4,0.712,57.31148,53,80
VII,E,11,177.1932929,8,0.944,83.5024,77,
VII,E,12,10.61186519,0,0.157,69.39382,63,
VII,F,1,161.1833447,8,0.916,58.18696,56,
VII,F,2,81.55693515,6,0.598,54.834,63,
VII,F,3,109.9271801,3,0.745,53.64668,53,other faint bands
VII,F,4,26.89563534,3,0.263,209.1201,125,53
VII,F,5,16.0811437,0,0.19,124.2269,0,
VII,F,6,131.2959187,8,0.846,80.05456,74,
VII,F,7,7.681506799,0,0.138,76.41187,0,
VII,F,8,0,0,0.001,110.8243,0,
VII,F,9,46.48978932,4,0.372,82.37521,68,
VII,F,10,150.1541193,7,0.9,54.46644,58,
VII,F,11,0,0,0.001,174.8851,0,
VII,F,12,0,0,0.001,62.66218,0,
VII,G,1,178.6689064,4,0.95,60.17774,56,
VII,G,2,34.24083039,3,0.315,107.9876,94,
VII,G,3,111.7529903,4,0.754,71.12152,67,
VII,G,4,53.24436467,4,0.422,96.94583,90,
VII,G,5,123.1106565,7,0.812,67.2619,62,
VII,G,6,53.96976139,5,0.424,54.39342,54,
VII,G,7,29.47185316,0,0.282,170.5708,0,other faint bands
VII,G,8,0,0,0.001,152.6753,0,
VII,G,9,58.30926416,3,0.45,69.64483,65,
VII,G,10,72.68407886,5,0.55,54.21584,53,other faint bands
VII,G,11,138.0824105,6,0.869,67.43797,64,
VII,G,12,0,0,0.001,159.5665,0,other faint bands
VII,H,1,108.998836,5,0.742,80.25988,94,
VII,H,2,31.92819119,4,0.302,138.6001,105,
VII,H,3,20.16506611,0,0.217,53.03644,,other faint bands
VII,H,4,119.1145685,6,0.791,95.42156,90,
VII,H,5,93.08474652,9,0.671,27.302947,29,
VII,H,6,39.2042969,6,0.339,71.95403,66,
VII,H,7,22.32130242,0,0.229,50.90977,0,other faint bands
VII,H,8,25.06666501,3,0.245,58.54434,59,
VII,H,9,101.5234263,5,0.715,65.44495,62,"52,32"
VII,H,10,66.28063587,4,0.508,88.42338,100,
VII,H,11,1.235133234,0,0.105,164.6882,0,
VII,H,12,0,0,0.001,0,,other faint bands
