logFC	AveExpr	t	P.Value	adj.P.Val	B	peak_id	contrast
3.0462102378706	7.88187431346519	4.09495497658609	7.54589564809402e-05	0.0044138589609111	1.3312176602095	ENSG00000001630	Bulk_B_S-Bulk_B_U
4.01956833719738	8.90230358869119	4.88379150610022	3.12980527009698e-06	0.000469888097883893	4.31522006174687	ENSG00000003402	Bulk_B_S-Bulk_B_U
6.83264958652057	5.23629468168049	5.04483517765231	1.56639243629098e-06	0.000267912589862833	4.77803428026753	ENSG00000004455	Bulk_B_S-Bulk_B_U
3.25568513415938	7.2644691266627	4.64017909747925	8.68631534204564e-06	0.000949044991915068	3.35738770128516	ENSG00000004779	Bulk_B_S-Bulk_B_U
-2.70195683939647	8.47236399179145	-5.8478927591375	4.11217226638919e-08	1.76857534995402e-05	8.36469371751631	ENSG00000005483	Bulk_B_S-Bulk_B_U
6.10493240331373	3.26294687251308	4.26390258264694	3.93542017186473e-05	0.00282847858309767	1.88179169626268	ENSG00000006625	Bulk_B_S-Bulk_B_U
2.38907472210823	9.63875788785372	4.37308591955427	2.56031927524824e-05	0.0019882203475376	2.30621449771773	ENSG00000008018	Bulk_B_S-Bulk_B_U
7.14343810198535	2.80256821441597	5.08393304408707	1.32141707465064e-06	0.000240688761093033	4.83199660566998	ENSG00000011052	Bulk_B_S-Bulk_B_U
6.15388725742965	3.48932950816194	3.90499885105566	0.000153594382658669	0.0072986796091955	0.733167326040434	ENSG00000018510	Bulk_B_S-Bulk_B_U
-2.21369391347483	10.4359438845546	-7.91402420890652	1.1705942910081e-12	5.2723566867005e-09	17.890928589749	ENSG00000019582	Bulk_B_S-Bulk_B_U
6.74440693360718	0.621009736104678	4.5615699920786	1.19907327362874e-05	0.00113299846666234	2.8168506982203	ENSG00000025039	Bulk_B_S-Bulk_B_U
6.70480413647752	0.410279905484691	4.81426096016711	4.20217121393515e-06	0.000524355625346533	3.76680846740469	ENSG00000029153	Bulk_B_S-Bulk_B_U
-2.22514104783649	7.7307232201139	-3.91852398449503	0.000146125824509889	0.00700160333609087	0.788665639414883	ENSG00000029363	Bulk_B_S-Bulk_B_U
-2.21135639385899	11.0514734599545	-4.86651982386338	3.36827005090778e-06	0.000470283309749083	4.00170624976568	ENSG00000034510	Bulk_B_S-Bulk_B_U
2.82446278268753	7.79922798955053	4.68143930278598	7.32394737295954e-06	0.000845822024815635	3.5333521237816	ENSG00000041357	Bulk_B_S-Bulk_B_U
-5.74492352717415	3.59437148567683	-4.19495115522017	5.14388220342387e-05	0.00349267016747052	1.67768445747943	ENSG00000047346	Bulk_B_S-Bulk_B_U
3.7916127130032	5.04313858844324	3.87292216364809	0.000172787824759848	0.00773082479521543	0.685493625981337	ENSG00000052802	Bulk_B_S-Bulk_B_U
6.46866581369101	3.63604220608984	5.18689548184492	8.41257271166129e-07	0.000167162768352893	5.36370258054522	ENSG00000054219	Bulk_B_S-Bulk_B_U
4.86086577992347	4.05865336363619	3.8555491365855	0.000184115131930043	0.00799986919164953	0.5612493339935	ENSG00000056050	Bulk_B_S-Bulk_B_U
5.7148876037505	3.5684497471209	4.8769332477503	3.22246576946978e-06	0.000470283309749083	4.02210117874104	ENSG00000056558	Bulk_B_S-Bulk_B_U
3.49752116287483	7.22796152493821	6.00019708323275	1.99648851814731e-08	1.07906211428826e-05	8.97118089090325	ENSG00000057608	Bulk_B_S-Bulk_B_U
3.74263037310007	8.25204252176793	4.961597009692	2.24394652796323e-06	0.000365303680552279	4.59612256095788	ENSG00000062716	Bulk_B_S-Bulk_B_U
4.57973651552848	5.94039946142679	3.95851143374246	0.000126015994559621	0.00632984430665278	0.953985617252616	ENSG00000065911	Bulk_B_S-Bulk_B_U
-2.19818610081334	7.39311845981649	-3.97743241831287	0.000117448046494191	0.00607753981962041	0.958812285458327	ENSG00000067066	Bulk_B_S-Bulk_B_U
-4.69110413545507	9.29881001175617	-7.53902346938509	8.55731338720002e-12	1.86770411949135e-08	16.4727359221704	ENSG00000067082	Bulk_B_S-Bulk_B_U
3.14714566625238	6.58521951764846	4.29373586482413	3.50174882519701e-05	0.00259975989703637	2.10041993505468	ENSG00000069849	Bulk_B_S-Bulk_B_U
-4.6072639942631	4.33087738597257	-4.66306924275661	7.90283486751431e-06	0.000889859206082112	3.38087255973986	ENSG00000070814	Bulk_B_S-Bulk_B_U
-4.65976234646799	0.276391070157091	-4.53980483715216	1.31021605940554e-05	0.00122094064790949	2.58848219231572	ENSG00000072182	Bulk_B_S-Bulk_B_U
-3.18068896117122	7.25405028100277	-3.9227034536957	0.000143888804922413	0.00691895207157167	0.813673099585171	ENSG00000073614	Bulk_B_S-Bulk_B_U
8.89672795834667	1.17059979256462	7.95094257855419	9.60832897749877e-13	5.2723566867005e-09	17.2196272144138	ENSG00000074416	Bulk_B_S-Bulk_B_U
8.17674842027118	1.44622049546417	6.08892932466684	1.30489438233105e-08	8.39606328288434e-06	8.63313490404037	ENSG00000077152	Bulk_B_S-Bulk_B_U
5.19621802034599	6.61478885664201	4.4298319605995	2.04197876927171e-05	0.00166212151387948	2.54655471346685	ENSG00000078668	Bulk_B_S-Bulk_B_U
3.3722961566196	6.61216804426202	4.09944519837293	7.4181464490592e-05	0.00437089932618618	1.42544028160578	ENSG00000079459	Bulk_B_S-Bulk_B_U
4.76827955774565	5.19002547538528	4.31221110145563	3.25662214130154e-05	0.00244463768740369	2.12380258776249	ENSG00000085415	Bulk_B_S-Bulk_B_U
