Uniprot_L,Uniprot_R,Gene_L,Gene_R,Kd_nM,Method,Confidence,log10_Kd_nM,Ref_csv,protein_identifier_1,transmembrane_1,peripheral_1,secreted_1,receptor_1,protein_identifier_2,transmembrane_2,peripheral_2,secreted_2,receptor_2,pair_label
P50591,O14763,TNFSF10,TR10B,2,"PDB,SPR",5,0.477121255,"https://www.ncbi.nlm.nih.gov/pubmed/10549288,https://www.ncbi.nlm.nih.gov/pubmed/10770955",TNF10_HUMAN,TRUE,FALSE,TRUE,FALSE,TR10B_HUMAN,TRUE,FALSE,FALSE,TRUE,TNFSF10 + TR10B
O43508,Q9NP84,TNFSF12,TNR12,1.3,"SPR,Cell",4,0.361727836,"https://www.ncbi.nlm.nih.gov/pubmed/16526941,https://www.ncbi.nlm.nih.gov/pubmed/23667509,https://www.ncbi.nlm.nih.gov/pubmed/20385556/",TNF12_HUMAN,TRUE,FALSE,TRUE,FALSE,TNR12_HUMAN,TRUE,FALSE,FALSE,TRUE,TNFSF12 + TNR12
Q9C0C4,O15031,SEMA4C,PLXNB2,0.95,Cell,3,0.290034611,"https://www.ncbi.nlm.nih.gov/pubmed/17554007,https://www.ncbi.nlm.nih.gov/pubmed/21035938",SEM4C_HUMAN,TRUE,FALSE,FALSE,TRUE,PLXB2_HUMAN,TRUE,FALSE,FALSE,TRUE,PLXNB2 + SEMA4C
P50591,Q9UBN6,TNFSF10,TR10D,62,"ITC,SPR",4,1.799340549,"https://www.ncbi.nlm.nih.gov/pubmed/10770955,https://www.ncbi.nlm.nih.gov/pubmed/15823571/,https://www.ncbi.nlm.nih.gov/pubmed/9430226",TNF10_HUMAN,TRUE,FALSE,TRUE,FALSE,TR10D_HUMAN,TRUE,FALSE,FALSE,TRUE,TNFSF10 + TR10D
P49771,P36888,FLT3LG,FLT3,8.7,"PDB,ITC",5,0.986771734,https://www.ncbi.nlm.nih.gov/pubmed/21389326,FLT3L_HUMAN,TRUE,FALSE,TRUE,FALSE,FLT3_HUMAN,TRUE,FALSE,FALSE,TRUE,FLT3 + FLT3LG
P98172,P54762,EFNB1,EPHB1,0.72,Cell,4,0.235528447,"https://www.ncbi.nlm.nih.gov/pubmed/8918835,https://www.ncbi.nlm.nih.gov/pubmed/7973638",EFNB1_HUMAN,TRUE,FALSE,FALSE,FALSE,EPHB1_HUMAN,TRUE,FALSE,FALSE,TRUE,EFNB1 + EPHB1
P98172,P29323,EFNB1,EPHB2,0.66,Cell,4,0.220108088,"https://www.ncbi.nlm.nih.gov/pubmed/8918835,https://www.ncbi.nlm.nih.gov/pubmed/9233799,https://www.ncbi.nlm.nih.gov/pubmed/8755474",EFNB1_HUMAN,TRUE,FALSE,FALSE,FALSE,EPHB2_HUMAN,TRUE,FALSE,FALSE,TRUE,EFNB1 + EPHB2
Q9UHP7,Q12918,CLEC2D,KLRB1,48000,"SPR,Cell",4,4.681250285,"https://www.ncbi.nlm.nih.gov/pubmed/21572041/,https://www.ncbi.nlm.nih.gov/pubmed/16339513,",CLC2D_HUMAN,TRUE,FALSE,FALSE,TRUE,KLRB1_HUMAN,TRUE,FALSE,FALSE,TRUE,CLEC2D + KLRB1
Q92478,Q9NZS2,CLEC2B,KLRF1,4100,"SPR,Cell",4,3.612889769,https://www.ncbi.nlm.nih.gov/pubmed/17057721/,CLC2B_HUMAN,TRUE,FALSE,FALSE,TRUE,KLRF1_HUMAN,TRUE,FALSE,FALSE,TRUE,CLEC2B + KLRF1
P05067,O75509,APP,TNFRSF21,NA,Cell,2,#VALUE!,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2677572/,A4_HUMAN,TRUE,FALSE,TRUE,FALSE,TNR21_HUMAN,TRUE,FALSE,FALSE,TRUE,APP + TNFRSF21
P18827,O75509,SDC1,TNFRSF21,NA,"Cell,IP",2,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/28045014,SDC1_HUMAN,TRUE,FALSE,FALSE,FALSE,TNR21_HUMAN,TRUE,FALSE,FALSE,TRUE,SDC1 + TNFRSF21
Q9NPH3,P10586,IL1RAP,PTPRF,19000,JS,NA,4.278776458,NA,IL1AP_HUMAN,TRUE,FALSE,TRUE,TRUE,PTPRF_HUMAN,TRUE,FALSE,FALSE,TRUE,IL1RAP + PTPRF
P98172,P54764,EFNB1,EPHA4,25000,JS,NA,4.39795738,NA,EFNB1_HUMAN,TRUE,FALSE,FALSE,FALSE,EPHA4_HUMAN,TRUE,FALSE,FALSE,TRUE,EFNB1 + EPHA4
Q12860,P43121,CNTN1,MCAM,7400,JS,NA,3.869290404,NA,CNTN1_HUMAN,TRUE,FALSE,FALSE,FALSE,MUC18_HUMAN,TRUE,FALSE,FALSE,FALSE,CNTN1 + MCAM
P78504,Q6EMK4,JAG1,VASN,1900,JS,NA,3.278982117,NA,JAG1_HUMAN,TRUE,FALSE,FALSE,FALSE,VASN_HUMAN,TRUE,FALSE,FALSE,TRUE,JAG1 + VASN
Q9Y219,Q6EMK4,JAG2,VASN,14000,JS,NA,4.146159056,NA,JAG2_HUMAN,TRUE,FALSE,FALSE,FALSE,VASN_HUMAN,TRUE,FALSE,FALSE,TRUE,JAG2 + VASN
P98172,P29317,EFNB1,EPHA2,41000,JS,NA,4.612794449,NA,EFNB1_HUMAN,TRUE,FALSE,FALSE,FALSE,EPHA2_HUMAN,TRUE,FALSE,FALSE,TRUE,EFNB1 + EPHA2
Q12860,Q92823,CNTN1,NRCAM,4500,JS,NA,3.653309013,NA,CNTN1_HUMAN,TRUE,FALSE,FALSE,FALSE,NRCAM_HUMAN,TRUE,FALSE,FALSE,FALSE,CNTN1 + NRCAM
Q6UXB8,O75509,PI16,TNFRSF21,18000,JS,NA,4.255296632,NA,PI16_HUMAN,TRUE,FALSE,TRUE,FALSE,TNR21_HUMAN,TRUE,FALSE,FALSE,TRUE,PI16 + TNFRSF21
P78380,Q8IW52,OLR1,SLITRK4,900,JS,NA,2.954724791,NA,OLR1_HUMAN,TRUE,FALSE,FALSE,TRUE,SLIK4_HUMAN,TRUE,FALSE,FALSE,TRUE,OLR1 + SLITRK4
Q06481,P01833,APLP2,PIGR,800,JS,NA,2.903632516,NA,APLP2_HUMAN,TRUE,FALSE,FALSE,FALSE,PIGR_HUMAN,TRUE,FALSE,FALSE,FALSE,APLP2 + PIGR
Q9H7M9,P30511,VISTA,HLAF,1600,JS,NA,3.204391332,NA,GI24_HUMAN,TRUE,FALSE,FALSE,TRUE,HLAF_HUMAN,TRUE,FALSE,FALSE,FALSE,HLAF + VISTA
P19022,P06734,CDH2,FCER2,10000,JS,NA,4.000043427,NA,CADH2_HUMAN,TRUE,FALSE,FALSE,FALSE,FCER2_HUMAN,TRUE,FALSE,TRUE,TRUE,CDH2 + FCER2
Q06481,Q9HCM2,APLP2,PLX4,2600,JS,NA,3.415140352,NA,APLP2_HUMAN,TRUE,FALSE,FALSE,FALSE,PLXA4_HUMAN,TRUE,FALSE,FALSE,TRUE,APLP2 + PLX4
P05067,Q9HCM2,APP,PLX4,16000,JS,NA,4.204147125,NA,A4_HUMAN,TRUE,FALSE,TRUE,FALSE,PLXA4_HUMAN,TRUE,FALSE,FALSE,TRUE,APP + PLX4
P33681,P08138,CD80,TNR16,6400,JS,NA,3.806247827,NA,CD80_HUMAN,TRUE,FALSE,FALSE,TRUE,TNR16_HUMAN,TRUE,FALSE,FALSE,TRUE,CD80 + TNR16
P22455,P34741,FGFR4,SDC2,1700,JS,NA,3.230704314,NA,FGFR4_HUMAN,TRUE,FALSE,TRUE,TRUE,SDC2_HUMAN,TRUE,FALSE,FALSE,FALSE,FGFR4 + SDC2
Q9ULL4,Q92854,PLXNB3,SEMA4D,800,JS,NA,2.903632516,NA,PLXB3_HUMAN,TRUE,FALSE,FALSE,TRUE,SEM4D_HUMAN,TRUE,FALSE,FALSE,TRUE,PLXNB3 + SEMA4D
O00533,P32004,CHL1,L1CAM,1800,JS,NA,3.255513713,NA,NCHL1_HUMAN,TRUE,FALSE,FALSE,FALSE,L1CAM_HUMAN,TRUE,FALSE,FALSE,FALSE,CHL1 + L1CAM
Q9NPY3,P15260,CD93,IFNGR1,100,JS,NA,#VALUE!,NA,C1QR1_HUMAN,TRUE,FALSE,FALSE,FALSE,INGR1_HUMAN,TRUE,FALSE,FALSE,TRUE,CD93 + IFNGR1
Q9NPF0,Q86YT9,CD320,JAML,NA,JS,NA,#VALUE!,NA,CD320_HUMAN,TRUE,FALSE,FALSE,FALSE,JAML_HUMAN,TRUE,FALSE,FALSE,FALSE,CD320 + JAML
Q9H7M9,P13747,VISTA,HLAE,7100,JS,NA,3.851319513,NA,GI24_HUMAN,TRUE,FALSE,FALSE,TRUE,HLAE_HUMAN,TRUE,FALSE,FALSE,FALSE,HLAE + VISTA
Q8N109,P15151,KIR2DL5A,PVR,12000,JS,NA,4.079217436,NA,KI2LA_HUMAN,TRUE,FALSE,FALSE,TRUE,PVR_HUMAN,TRUE,FALSE,TRUE,TRUE,KIR2DL5A + PVR
P22455,Q03167,FGFR4,TGFBR3,1600,JS,NA,3.204391332,NA,FGFR4_HUMAN,TRUE,FALSE,TRUE,TRUE,TGBR3_HUMAN,TRUE,FALSE,TRUE,TRUE,FGFR4 + TGFBR3
