Gene.names,B.memory_activated,B.memory_steady.state,B.naive_activated,B.naive_steady.state,B.plasma_steady.state,Basophil_steady.state,Eosinophil_steady.state,mDC_activated,mDC_steady.state,MO.classical_activated,MO.classical_steady.state,MO.intermediate_steady.state,MO.nonclassical_steady.state,mTregs_activated,mTregs_steady.state,Neutrophil_steady.state,NK.bright_activated,NK.bright_steady.state,NK.dim_activated,NK.dim_steady.state,nTregs_activated,nTregs_steady.state,pDC_activated,pDC_steady.state,T4.CM_activated,T4.CM_steady.state,T4.EM_activated,T4.EM_steady.state,T4.EMRA_activated,T4.EMRA_steady.state,T4.naive_activated,T4.naive_steady.state,T8.CM_activated,T8.CM_steady.state,T8.EM_activated,T8.EM_steady.state,T8.EMRA_activated,T8.EMRA_steady.state,T8.naive_activated,T8.naive_steady.state,Th1_steady.state,Th17_steady.state,Th2_steady.state,Majority.protein.IDs,Uniprot,Symbol,hclust_order
GLG1,66407,36911.75,67400.25,25448.5,112105.25,15558.5,29286.75,83582.5,151343.5,71163.66667,159987,223713.5,204811,24498.33333,78600.75,136672,120217.6667,93518.75,99089.66667,103014.25,153081,70777.5,70044.25,191930.75,95508.5,89242.25,89783,74942.75,89985.25,66700,96668.5,96824.25,66382.75,74764.75,64898.5,86080.5,70088.25,108919.25,74756.25,72362.5,77021.75,91743.25,83092,Q92896;Q92896-2;Q92896-3,Q92896,GLG1,19
ITGB1,60687.5,65290.5,57472,16500,114811.25,33635,33822.75,128635.25,171249.25,245759.6667,244857.75,313062,379977,54307.33333,189797.75,198045.5,221762.3333,170057,197393.3333,95047.5,104943,87849.75,76961,93070,144460.5,160623,150901,200180,118150.5,107108.25,70307.25,36382.5,130492,140420,137204.75,171282.75,126498,164939.75,56792.75,22926.5,158688.75,211661.5,150989.75,P05556;P05556-2;P05556-4;P05556-3,P05556,ITGB1,20
LNPEP,234647.5,89080,422453.5,99398.25,4962.75,239705.75,61720,125822.75,181510.75,91889.66667,191804,351556,421176.25,32629.33333,115985.25,183541.75,196195.6667,218651,169692.3333,124366.5,231626.6667,82153.25,141072.25,229205,130854.25,115805.75,114420.75,113986.5,104856.75,58728,140894.5,124036.5,85899,105703,90503.25,143300,68184.25,132386.75,128161,144649.5,77513.5,119032,86013,Q9UIQ6;Q9UIQ6-3;Q9UIQ6-2,Q9UIQ6,LNPEP,21
TM9SF3,109215.5,48682,131801,40098.75,98841.5,65783.75,39710.75,164293.5,167791,173473,288137.5,338449.5,408649.5,23617.33333,83120.75,88421.75,149033,99521.25,177384,82871.75,112044,50188,154165.75,342185,128898,111979.75,125072.75,105429.75,112947.25,59261.25,105543,69668.25,150551,98436,129357.75,110248.5,87861.25,90588.25,106743.75,71322.25,72036.25,110897.75,92719,Q9HD45;Q5TB53,Q9HD45,TM9S3,22
TMED4,103548.5,39576.5,96810.5,30461.75,31521.25,100934,111260,149776,143057.5,152413,388185,340188,362351,27234,82333,104965,181596.6667,140825.25,218267.3333,137249,188503.3333,65641.5,254472,423521.25,176332,109502.75,252404.75,125760.25,158214.75,80050.5,145775.75,67043.5,222346.75,113123.25,191733.5,133485.75,120283.25,126166.5,147102.75,80047.5,78880.75,118424.75,93238.75,Q7Z7H5;Q7Z7H5-3;Q7Z7H5-2;F8W7F7,Q7Z7H5,TMED4,23
KTN1,175235,128637.25,244514.75,104974,99085.75,82597.25,22134.5,236184,282139.25,198571,185655.25,346821.25,287316.75,39685,110045.25,28348,120184.3333,137497.25,109868.3333,76203.75,234055.3333,106756.5,237213.5,346494.5,204804.75,127218.75,257812.5,115368.75,178403.75,86386.25,142549.5,116286.5,195430.25,112897,155358.75,128957,113142.25,123408.5,146124.25,99247.75,94381.5,112989.5,107226,Q86UP2;Q86UP2-4;Q86UP2-2,Q86UP2,KTN1,24
TLR9,158494.25,74139.25,190901.25,24343.5,26797.25,72967.25,74556.25,186841.25,175656,300424.6667,139436,377435,260407,89701,103456,142647.5,98852.33333,91518.75,85373,110091.75,198501.3333,84426.25,203328.75,311739.5,172490.5,112491,256938.5,122369.75,165827.75,118387,108841.25,72815,105005.5,104205,96589.5,125813,70582.25,132648.5,111417.5,103373.5,67465,117697.25,131431,H0Y858;Q9NR96-4;Q9NR96;Q9NR96-5;Q9NR96-3;Q9NR96-2,Q9NR96,TLR9,25
IL3RA,81.25,150,0,316.5,0,487004.75,13.25,32594.25,523.75,10828.33333,540.5,5870,4458.25,0,68.5,4921.75,63,717.5,1975,1868,167.6666667,13782,323167,692801,290.5,145,505.25,98,4645.75,240,128,0,2085.5,15,961.5,23.75,159.5,58.5,68.25,34.5,39,40.75,184,P26951;P26951-2,P26951,IL3RA,26
MPEG1,3783.75,608.5,2037,347.75,3595.25,7140.75,1274.75,11019.75,64440,17061.66667,283593,91658.5,132990.75,15826,549.5,2443.25,3205,817.5,12868.66667,1271.25,1736.333333,10600.5,176156,1128078.25,433,1030,5843.75,1329.75,1680,903.75,12784.25,813.5,3206.5,1362,16445,1885,34952.5,1656.75,13113.5,1650.5,391.75,707,1235.5,Q2M385,Q2M385,MPEG1,27
PTPRE,19646.25,5276.5,27836.25,2367.25,132.75,140875.5,139613.25,261980.75,284628.5,329879.3333,146231,385225.75,180598.5,0,27051.75,83711.25,34543.66667,56664.75,36948,86252,37257.33333,43613.75,324059.75,904126.75,54684.75,22115.75,49562.5,26171,47839.75,38634,12057.25,14547,20454.25,22744.5,18833.75,40073.25,14987,65398,12820.5,18091.25,21529.75,18810.5,19049,P23469;P23469-2;P23469-3,P23469,PTPRE,28
CD33,0,0,0,201.25,2957.5,40425,4907.75,12558.75,88083.75,96395,684113,233740.75,64779.25,0,2036.5,458206,16204.33333,12347.5,882,613.75,2428.333333,2886.25,317,1468.5,1795.75,0,0,0,305,778,0,596,0,404,0,7291.5,0,0,0,1075.75,199.75,0,358.25,P20138;P20138-2;P20138-3,P20138,CD33,29
CD180,76694.5,295254.75,58758.25,203947.25,419.25,654.75,688.75,79595.5,332705.75,37820.33333,618187.5,527271.5,316203.25,383,85,517.75,723,1162.75,0,313.75,24.66666667,186,499.75,4031.5,12.25,25.25,12515.5,43,30,701,0,59.75,809.75,110.25,665.75,57.5,152.75,371.5,694.25,19.75,48.5,28,170.75,Q99467,Q99467,CD180,30
CD36,33,390.25,0,111.75,138.5,1899.75,0,6873.75,50674.25,42992,708288.5,555188.75,161082.5,0,37.75,185,447.3333333,448.5,0,0,151.6666667,1847.5,30815.5,63903,763.75,475.25,818.75,25,300,1594.5,142.75,75.5,189.5,62.75,81.75,117,0,80.75,0,151.75,31.25,118.75,123.75,P16671;E7EU05;P16671-3;P16671-4;E9PLT1,P16671,CD36,31
C10orf54,3750.25,9987,2012.25,4013,3310.25,85458,140257,32858.25,87000.5,90968,407981.25,733796.75,684648.75,3747.666667,29352,366578.25,33395.33333,28280.25,12398,46203.25,27575.33333,25934.75,6399.75,28061,6101.25,9367.75,5922.75,18960.75,15631,12416.5,10717,11787,7266.75,23202.5,4224.5,23185.5,2226,22610,22691.25,13191.75,13401.25,20759.75,18951.75,Q9H7M9,Q9H7M9,C10orf54,32
ITGA2B,111.25,23769.25,359.75,2657.5,123.25,103038,242.75,183.5,13229.25,9010.333333,689293.25,707036.25,584000.75,8,26.75,3812.5,187,41.25,341.6666667,76,65,1771.5,179.5,5002,130.75,828.5,149.25,140.5,488.25,6408.75,72.5,97.5,6296.5,118,48.5,61,32.75,104,80,2945.5,21.75,141.25,865.75,P08514;P08514-2;P08514-3,P08514,ITGA2B,33
ITGB3,150.25,10384,106.5,10208.75,50.5,70673,153.5,245.25,8136.5,6278,598782.75,854122.25,639940.75,69,61.75,105,479.3333333,42.25,222.3333333,388,2594,1594,91.5,3566.25,662,19.25,995.5,92,1031.5,4462.75,129.25,90.25,1675.75,235.5,694.75,231.5,172.25,228.75,277,80.25,37.25,102.5,367.5,P05106;H3BM21;P05106-2,P05106,ITGB3,34
CD97,79355.5,7778.5,107995.25,1981.75,4239.5,236135.5,264471.5,141510.25,209509,168041.3333,298184.75,759266.25,649760,12865.66667,59812.75,475025.5,121822,109860.5,234936,76130.25,121405.6667,43762,65764.5,165026.75,103908.75,48979,125244.75,59107.5,126852.5,42779.25,80481,37549.25,88590,52669.75,110455.75,74334.5,114965.5,71045.75,96860.75,39902.75,37666.75,59513.25,67731.25,P48960;P48960-2;P48960-3,P48960,CD97,35
TYROBP,0,0,0,0,6837.5,10439.25,187755.25,70512.75,185737.25,380039.3333,500377,502694.75,616285,0,4256.25,314998,289281.3333,103019.25,311344.3333,117435.25,3519.666667,1648,17507.5,194439.25,7651.25,0,8686.25,1168,0,29577.75,3207.5,0,18078.75,1878.75,5785.75,3345.75,4544.75,18602.75,11011.5,1468.75,5522.5,0,7815.5,O43914;O43914-2;X6RGC9;K7ES93;O43914-3,O43914,TYROBP,36
MME,115.5,190.75,276.75,75.25,2410,5.5,37.25,84.5,56.5,160.3333333,9.5,45.25,180,115.3333333,27,1075206.25,1046,57,101.6666667,83.75,22.66666667,464,39.5,221.75,30.25,12.25,1857.5,4.75,114.25,571.25,57,20,49.25,148.5,22.75,653,1730.5,17.25,23.25,112.75,1,33.75,131.75,P08473,P08473,MME,37
SIGLEC5,0,731.75,526.25,0,0,5200.75,1835,335.5,13460.75,776.6666667,62585,72597.5,97267.75,307.3333333,253.5,993584,394.6666667,93.5,0,201,0,2218,348.75,6920.75,0,18906,0,9185.5,122,1432.5,0,9875.25,0,1110.25,0,12403.25,68.25,739,0,12989.25,0,17536.75,9115,O15389,O15389,SIGLEC5,38
MCEMP1,0,0,2268.5,0,0,0,34499,0,98417,172461,434874.75,188237,12549.25,13579,2117,915108,2353.666667,217.5,3977.666667,0,7582,0,0,2163.5,0,5368.5,0,3830.5,654.5,319.75,0,3659.25,0,21575.75,4917.5,0,0,0,3188.5,0,0,0,4633.5,Q8IX19;M0R0S5;M0QYG6,Q8IX19,MCEMP1,39
SIGLEC9,1646.5,63.75,792.25,20,0,445.75,524.25,15741.25,110032.25,104897.6667,466460.75,328283.5,210964,239.6666667,288.5,1023607.75,452,1849.25,345.3333333,7146.25,8029,123.5,714.5,176.75,5674.25,290.5,5358.75,384,2398.25,111.25,684.75,845.75,1883.5,168.5,85.5,220.5,0,350.5,98.5,232,60.5,293.25,250.25,Q9Y336,Q9Y336,SIGLEC9,40
LILRB1,5999.75,8013.5,10297.75,5309.25,0,4396,6946.25,32498,26619.75,109359.6667,62481,488992.25,378833.25,0,400.5,529103.75,3071.333333,1066.5,4140.666667,3302,168,896.5,12038,53182,571.75,48.5,0,112,0,1368,0,109.5,0,395.5,576.25,3392.5,2374,7803,0,22,0,0,52.75,Q8NHL6;Q8NHL6-2,Q8NHL6,LILRB1,41
CD93,0,20.5,129,0,447.5,0,544.75,24843,19870,37691,256173,99442.5,24543,0,0,630264.25,0,510.75,2499,2236,0,0,199.25,1325,0,0,1112.25,0,248.25,0,169.25,0,241.5,0,0,0,0,0,0,913.5,0,0,0,Q9NPY3,Q9NPY3,CD93,42
CR1,1411.75,30160,510.25,17280.5,66.25,104778,99092,263.75,266,2073.333333,168752.75,56427.25,11873.25,0,25.75,658082.5,58.66666667,194.25,48.33333333,36.5,22.66666667,31,71.5,38,70.75,50,83.25,23.5,72.5,16.5,66.25,16.5,72.5,80.75,44.5,52,90.25,57.25,55,25,13.25,20.5,23.25,Q5SR44;E9PDY4;P17927,P17927,CR1,43
ALPL,10034.5,16890.5,85146.75,340.25,0,0,4159.25,0,0,19580.33333,1910.25,1870.75,416.75,1144.333333,69.25,774186.5,484.6666667,586.75,0,0,0,119.75,0,0,603.5,215.25,819.25,350.75,0,585.25,96.5,592.25,0,1720.75,1230.25,0,249.75,303.25,714.75,657.75,566.25,426,0,P05186;P05186-3;P05186-2,P05186,ALPL,44
CLEC4D,0,2826.5,0,0,0,0,0,2134.5,4354.5,0,14422.5,0,6470.5,0,3401.5,608659,1483.333333,0,586,0,0,2422.75,0,889.75,0,2315.75,0,0,0,3672.25,0,796.75,0,1488.75,1861.25,4569.75,0,0,1540.25,2356.25,2940.75,0,281.75,Q8WXI8,Q8WXI8,CLEC4D,45
HLA-E,48223.75,25643,70844.5,26674.5,11825.75,95739.5,57135,143545.25,44835.75,11647.33333,56473.25,85476.75,137218,11990.66667,92552.25,683190,38288.66667,70674.5,56691.33333,85947.25,88061.66667,54417.5,90522.75,86938,87874,82533.5,110857.75,84116,113859.75,37336,59821.5,56221.5,94084.25,52737.25,86008.75,74213.75,39501.75,88784.25,81286.75,63097,65931.5,52309.25,45076.75,P13747;Q6DU44,P13747,HLA-E,46
IGF2R,41647.25,16775.25,63289.25,12453.5,13545.25,1921.25,11434.75,12456.75,13377.5,72528,141495.25,98027,78291.75,1107.333333,12944.5,528315.75,61362,45764.5,105946,146428,68598,15650.5,94769.5,164219.5,40048.25,19096.5,45479,23030.75,52841.25,35556.5,37206.75,17654,36895,22850.5,46546.75,59740.5,44494.75,80839,31491,17454.5,14878.25,15176.75,13342.75,P11717,P11717,IGF2R,47
CD58,34969.25,8104.25,59012.75,1402.5,2014.25,17261.5,41287.75,63193.25,26943.25,54028,78526.75,36471,71035.25,12981.66667,56156.5,478734,53558,13253.5,92196.66667,28559.75,8796.333333,7303.25,8347.25,5525.25,25524,11427.25,32662.5,29474.25,26443.25,11596.75,8812.75,433.5,27832.5,17487.75,39316.25,32489.75,31369.75,24430.75,14252.25,8131.25,15261,20549,15957.75,P19256-3;P19256;B1AMW1;P19256-2,P19256,CD58,48
PIGT,17716.5,8807.5,16108.25,4803.25,3614.25,19892.25,30606.75,43741.25,71509.25,30718.66667,87721.25,87055.5,119377,5249.666667,42991,409185.25,54803,49166,70756.33333,29724.5,35979.33333,26378.5,59750.5,119722,47724,56460.25,62620,51097,41358.75,18192.25,28821.75,59301.5,43747.5,38942.5,51620,38613.25,34155.5,35957.5,26848.25,47723.25,22577.75,50722.5,40578,Q969N2;Q969N2-5;Q969N2-4;Q969N2-6;Q969N2-2;Q969N2-3,Q969N2,PIGT,49
MOSPD2,17870,4128,24181.5,2663,5704.5,26625,20973.25,25654,56789.5,140198,154027.25,234899.25,334030,3784.333333,8801.5,336659,32495,15409.5,32773,9930,20423,6341.25,12396.75,25284.5,28199.5,12450.5,44812.75,11832.25,30299.5,5450,13908,8972.5,19887.5,8503.5,12382.25,8112.5,7654.25,6620.25,25045,6788.75,3445,11575,7338,Q8NHP6;R4GMN1,Q8NHP6,MOSPD2,50
PLXNC1,825,763.5,2237.75,172,302.75,3300.25,45487.75,4919,23477.5,2422.333333,52738.75,192339.5,267061,0,218.75,315620.25,1952,2396.25,951,1097,4682,109.25,2124.25,6269,1318.75,404,2418.75,1122.5,120.25,106.5,1525.5,139.25,2314,876.75,183,1720.25,2008.5,631.5,901.75,79.5,664.75,849.5,460,O60486;B4DHQ7,O60486,PLXNC1,51
LAIR1,4951,26016.5,18653.25,53185,7044.5,41705,42133.5,14157.75,10483.75,102600.3333,145756.75,213000.75,175584.75,741.3333333,7732.25,275764.75,32970.33333,69920.25,28155.66667,66041,53367.33333,22229,30632.25,112268.5,11331,2876,3354.5,10776.25,14104,16889.5,33625.5,24026.25,4744,9688.75,15028.75,12764,41690.75,34602,22406,34564,10497.75,2948.75,11395.5,Q6GTX8;Q6GTX8-3;Q6GTX8-2;A8MZ84;D3YTC8;Q6GTX8-4,Q6GTX8,LAIR1,52
GALNT1,69786.25,16443.25,88108.25,14419.5,28790.25,43257.5,45696.75,52564.5,73936,65576,132127.25,113898.25,146425.5,0,12171,215376.25,44369,52452,44707.66667,23691.5,14485,6289.75,18839.25,51338,20696,13365.5,35059.5,22768,29094,17558.5,19464.5,11657.5,13292,13386,31348,29404.75,27562.25,36129,27370.75,11061,9788,12129.5,4836.5,Q10472,Q10472,GALNT1,53
NCSTN,33423.75,2442.25,48775.5,2050.5,614,41247.25,11190.25,58404.25,25118,100327.6667,164467.25,62624,76916,3650.333333,11719.75,266347.75,29781.66667,21193.75,43331.33333,17201.5,28383.66667,5871.5,40743.25,33617.25,27699.25,10745.75,33010.75,12805.5,31101.5,3253.25,16266.5,10081,16911,9673.25,26412.75,13958.25,20030.25,16321,19435.75,10810.5,10650.75,10587.25,9833.5,Q92542;Q92542-2;H0Y6T7,Q92542,NCSTN,54
LILRA5,357,0,2838.5,168,0,239.25,6359.25,1985.75,1455.25,6191,167370.5,147535.75,97065.5,0,0,301779.25,0,0,392,590.5,491,1641.75,6237.25,2216.75,2150.5,998.75,2297,0,0,179.75,954.25,1931.5,640.5,1830.75,622.75,784,0,0,518,135,661,133,0,A6NI73;A6NI73-2;A6NI73-4;A6NI73-3,A6NI73,LILRA5,55
CLEC12A,0,0,0,0,3562.5,40554,90562,20832.5,54735.25,0,104039,82578.5,105816.5,0,0,418549.5,6490.333333,1188.25,626.6666667,0,0,0,1450,7307.5,1409,916.75,1580.25,0,0,0,0,453,0,545.25,0,1988,0,2075.5,0,650.25,453.5,3704.5,1047.25,Q5QGZ9;Q5QGZ9-4;Q5QGZ9-1,Q5QGZ9,CLEC12A,56
SIRPB1,1719,12302.75,6570.5,854.5,0,1520,56704.5,2109.5,788.25,11444,188913.25,60407.25,61298.25,0,2979.75,419946.75,1580.666667,3205.25,0,920.25,0,6100.5,569,7674.5,1201,0,13242.75,148,16188,8826.5,317.25,0,11640.5,0,1898.25,614,952,2454.25,0,329.25,187.25,316.25,0,O00241;H3BRP9;H3BV43;H3BML4;H9KV29;O00241-2;Q5TFQ8,O00241,SIRPB1,57
ITM2B,0,632,10084.75,1022,19415.25,67176.25,7936.25,0,4844.75,0,12948.75,77573.75,76840,533.3333333,3968.75,331827.5,32507,3442,152416,3095,17451,2563,0,4635,0,2553.75,0,3632,15197.5,3209.5,6422.75,1456.5,2577.75,9568.5,8490.75,3229.75,2617,3264.75,9987,2578.5,3603.75,5159.75,3769.75,Q9Y287;Q9Y287-2,Q9Y287,ITM2B,58
ATP1B1,9198,0,27348.75,982.5,0,13596.5,1726.5,53620.5,86019.25,8242.333333,11570.25,20933.75,22968.25,15759,22949.5,429100,17126.66667,16767.5,8253.333333,1512.5,16625.33333,7175.5,6394,4587,1128,3254.25,1476,31125,2866.25,6985.75,9343,0,1073.75,8546.5,9799.75,13515.25,4287.75,7674.25,8934.25,1792.25,8140,8928.5,1470.75,P05026;P05026-2,P05026,ATP1B1,59
TNFRSF10C,0,0,0,0,0,0,15575.25,0,0,3676.666667,0,5221.5,2237.75,0,0,430145.25,0,0,0,0,0,0,0,223.75,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,831.5,0,0,O14798,O14798,TNFRSF10C,60
CD101,129.5,198,560.75,982.25,23,2083.5,71671.25,18083.25,112074.5,866,49250,52981,59411.25,770.6666667,13235.75,359962.5,618,1209,602.6666667,286.5,665,1123.5,295.75,595,1363.75,3764.5,863,8009.25,1228.25,618.75,267.5,4152.25,250,26543.75,8946.5,29707.25,3710.25,17856.25,5008.5,14767.5,2963,5874.25,3557,Q93033,Q93033,CD101,61
IGSF6,0,1423.25,0,0,0,1684.25,0,8615.75,41036.75,51952.66667,77954.75,63523.5,51768.25,0,971.75,354596,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11684.5,0,0,0,0,0,0,1892.75,11564.75,4345.5,0,O95976,O95976,IGSF6,62
SELL,22363.5,8547.5,22521.25,4607,0,127718,1809,5260.75,4926.5,0,12221.75,0,2611.5,11826.66667,76498,418222.5,2528,99874,0,3984.5,91519.33333,54879.25,31002.5,97845,20570.75,17725.75,4016.5,6084.25,14343.75,2725,20900.5,54196.5,10659.75,12396.25,3068.25,4985.5,1101.25,10086,27535.5,34347,26398.5,28675,76897,P14151;P14151-2,P14151,SELL,63
TMEM154,9664.25,0,3140.75,11081.5,3419.75,189220.75,55379.5,0,0,0,15847.75,6004.5,2143.25,0,7346.25,486358.25,4256.333333,0,9621,510.5,0,3333.25,0,430,0,4061.5,4845,6508.75,2658.75,0,1790.75,2064,0,2496.25,0,3333,0,0,0,1138.75,4087.5,2409,3822.75,Q6P9G4;A0A087WZ54,Q6P9G4,TMEM154,64
AMICA1;ARHGAP5,1992.5,11116.5,3776.25,10248.5,1931.5,5517.25,132796.25,0,123154.25,6094,75484.25,24355.75,12068,346.6666667,881.75,371027.5,3783.333333,2875.25,1287,3152.5,6664,1699.5,4120,78157.5,23272.5,0,18809.75,420.25,13827.75,276,8254.5,290.25,54147.25,1693,33490.75,938.75,10431.75,2073.25,37873,1621.75,654,477,604,Q86YT9;Q86YT9-4;Q86YT9-2;E9PR26;E9PKK2;Q86YT9-3,Q86YT9,AMICA1,65
ADAM8,2332.75,204,8564.25,90.75,728.75,123386.5,208458.5,10227.25,16531.25,2676,4074,5557.5,938.5,482.6666667,1034.75,281133.75,10795.33333,6384.75,11472,7954.75,744,403,413.75,380,3268.25,759.5,11410.75,1683.25,3734,1020.5,561,380.5,3405.25,1336.5,4065.75,2492,904.75,3193,193,175.5,1006.5,619.5,630.25,P78325,P78325,ADAM8,66
MMP25,1305,327.5,1335.75,53.75,0,70683.25,231435.75,237,130.75,707.6666667,1415,258.5,1543.75,0,86.75,409118,125416.3333,0,61213.33333,21,0,0,237.5,71.25,769.5,35,103.25,36.75,732.25,0,105.75,172,524.75,150.25,135.25,9.5,165.25,116,0,19,28.25,114.75,43.75,Q9NPA2,Q9NPA2,MMP25,67
NCAM1,54.5,66.5,156.75,20.5,5746.75,288.25,269.25,324.5,377.5,29,84.5,93.75,174.5,18,3486,1657,760732.3333,608916.5,396582.6667,100740.75,582.3333333,114.5,1096,1236.25,135.75,6.5,149.25,388.75,99.25,2091,75.5,32,47.25,82.75,431,8049.25,723,28349.75,42.25,46,62.25,93.5,36.75,P13591;A0A087WX77;P13591-5;P13591-1;A0A087WTF6;A0A087WWD4;A0A087WV75;P13591-4;P13591-3;A0A087WTE4,P13591,NCAM1,68
ICAM1,45243.75,12174.25,79924.75,6416.75,2332.75,22294.75,1070.25,672715.75,98038,473595.3333,135881,287151.75,263960.75,2335.333333,9011.5,132981,87025.66667,45973,118886.3333,18407.25,41484.66667,3187.75,148684.5,98484.25,75609.25,2528.5,199212.75,7253.25,167189.5,6848.5,27195.75,457,142761.25,7028.75,149185.5,19861.5,93425.75,23804,60351.25,761,5054.5,4884,7124,P05362,P05362,ICAM1,69
ALCAM,66594.25,7838.75,112626.75,3514,34161.75,3802.75,4811.25,650894.5,162587,121716,7846,16882,36907.5,5400,14206.5,11440.5,1501.333333,21807.25,11165.33333,12678.5,22978.33333,7480.5,81327.75,62643.75,16231.5,23214,14514.25,22609.25,21557,32181.75,15472.75,5194.5,4440.5,10255.75,12636.5,14049.5,11021.75,17149,22336.25,12469.25,3360,17199,12370,Q13740-2;Q13740;F5GXJ9,Q13740,ALCAM,70
SLAMF7,23656.5,0,9582,1147.25,17609.25,3013.5,430.5,771289.75,554.75,190460,4082.25,36222.25,127620.5,0,1128,102851.5,91221,9984,124676.6667,17417.75,0,381.5,236410.25,27588.75,0,25.75,260.25,1590.25,3469.25,8789.5,0,0,647.5,4272,17862.75,14339,29256.75,21546.5,8532,212,705.75,594,483.5,Q9NQ25;B4DW98;Q9NQ25-6;Q9NQ25-2;Q9NQ25-7,Q9NQ25,SLAMF7,71
TNFRSF4,22105.25,23217,55996.5,8301.25,1615.25,5390.75,1667.25,32887.25,9234.5,7681.333333,8169.5,5908.5,8202.75,4599.666667,1919,11408.75,13912,694,25120.66667,2087.5,19239.66667,1758,81147.5,554.75,347106.5,3809.5,819237.5,6532.75,329071.5,1927.5,21696.25,3298.75,108409,2803.75,41107,10474.5,21902.75,1637,21899.75,269,12237.5,5689.5,4945,P43489,P43489,TNFRSF4,72
CD2,0,1318,1510.75,2687.5,139.75,776.75,14588.75,11457.25,12455.25,0,7931.75,9416.25,3599.5,77812.66667,90406.5,37697.75,142411.3333,252752.5,58129.33333,64443.75,410340,36722.5,6359.75,3301.5,265503,61051.5,319900,82031,160118.25,67115.75,79078.75,45234.75,300216.75,122122.25,129469.5,150510,97941.25,78690,81457.75,35363,153048,75874.5,55713.5,P06729,P06729,CD2,73
BSG,103681.25,13559.5,98112.5,8736,30715.5,133461,60226,65375.75,106273.25,147231.6667,216729.75,121416,122902.75,31329,64140,337930.5,128641.3333,54719.75,124508.6667,49806.5,284836,24772.25,28270.25,42131.75,284032,22092.25,485717,41092.75,367819,28544.5,144127.25,11097.5,244911.25,23558.25,171311,30874.25,115931.5,28738.5,154093.75,12159.75,27657.5,44882.5,39896.75,P35613;P35613-2;A0A087X2B5;P35613-4;A0A087WUV8;I3L192,P35613,BSG,74
BST2,81021.5,64236.75,36762.75,45182.75,104107.5,54334.25,51686.5,185647.25,179666.75,49452.33333,80463,237125.25,102796,5757,27278.5,135115,59284.33333,76939,200600.6667,46165,265190,30770.75,361081.25,80127.75,241421.5,11935.75,377051.75,22651,504690,25549.75,78992,27513.25,148679.5,13000.5,92072.25,26943,116620.5,50683.75,104650.25,13048.75,41299.75,15429.25,31425.25,Q10589;Q10589-2,Q10589,BST2,75
CD79B,47283.75,475994,51656.5,344508,22790,4472,43.75,0,6179,0,1227.25,804.5,3248.25,0,3032.25,0,0,16322.5,11676.66667,695.25,783,417.5,857,12961,951.75,49,0,149,2401.75,699,204,4813.75,0,0,0,0,14690.5,0,0,51.5,0,274.5,206.5,P40259;P40259-3,P40259,CD79B,76
CD22,255470,208970.5,374233.5,255229.75,311.5,176,16.75,543.5,5491,126,59.5,90.5,114,32,71,760.25,135,1168.75,56.66666667,50.25,76,31.25,25,2114.25,0,25.25,180.25,0,185.25,68.5,96.5,36.5,58.5,8,38.25,28,33.25,3.75,5,11,20.5,1,1.75,P20273;P20273-5;P20273-3;P20273-4;A0A0C4DH08;P20273-2,P20273,CD22,77
CD79A,478910.5,368694.25,183004.75,208478.75,10425,0,0,559.75,48.75,0,0,555.75,5,0,10.25,0,192,44.5,345.6666667,119,0,19.75,0,0,1090.5,114.75,241.75,19.5,592.75,0,0,102.25,67.75,195.75,386.75,35,0,80.25,85.25,75.5,0,274.75,155.5,P11912,P11912,CD79A,78
SEMA7A,210458.25,523.25,430836,51.75,1949,102286.75,5232.75,73876.25,1624.5,0,2481,956,240.25,0,522.75,6161.5,1637,4857.25,1507.666667,3566,50,1819,43997.5,4371.25,178.75,119.25,79.5,353.5,17193.75,2830.5,438.25,474.75,551,4868.25,471,942.75,45.25,1002.25,522.5,467.75,594,1990.5,1401.25,O75326;O75326-2;F5GYX3,O75326,SEMA7A,79
CD70,37026,1976.75,48282.75,699.5,0,6746.5,309.75,22944.75,4718.25,13880.66667,7536,13009.75,3577,591,12633.75,6728.5,17051.33333,1510,414692.6667,981,8495,0,5918.25,1984.25,20793.75,2342.75,87452.25,9101.25,40332.25,0,4367.75,0,110744,2823.75,213921.25,4279.25,66184,370,23423.5,1035.75,1984,551.75,4333.25,P32970;P32970-2,P32970,CD70,80
KIR2DS2,0,0,0,0,3204.5,0,0,0,0,0,0,245,27,203.3333333,0,0,15160.66667,99.5,221158.3333,43452.5,2442,0,0,0,0,22,2952,0,1432.75,792.25,0,0,0,429.25,2374.75,0,4814.75,3302,0,0,279,0,0,P43631,P43631,KIR2DS2,81
KIR3DL1,1092.75,2789,1477.25,4325,3743,403.75,2358.25,321.75,13367,4680.666667,165,590,133.25,1035.333333,137.75,402,69066.33333,1614.5,359628,89687.75,2028,213.5,373.25,429,1722,1106.75,113.5,1011.25,263.75,1207.75,1369.75,0,3413.75,0,1131.5,114.75,5018.75,22864.5,1649.25,188,156.5,0,0,P43629;W5QJC1;P43629-2;W4VSQ6,P43629,KIR3DL1,82
